id,station_id,alert_level,threshold_value,label,effective_from
1,1,1,29.37,Chú ý,2024-03-27 16:28:29
2,1,2,30.87,Cảnh báo,2024-03-27 16:28:29
3,1,3,32.87,Nguy hiểm,2024-03-27 16:28:29
4,2,1,90.77,Chú ý,2024-02-03 18:19:43
5,2,2,92.27,Cảnh báo,2024-02-03 18:19:43
6,2,3,94.27,Nguy hiểm,2024-02-03 18:19:43
7,3,1,23.75,Chú ý,2024-07-15 06:15:09
8,3,2,25.25,Cảnh báo,2024-07-15 06:15:09
9,3,3,27.25,Nguy hiểm,2024-07-15 06:15:09
10,4,1,66.66,Chú ý,2024-07-30 15:13:21
11,4,2,68.16,Cảnh báo,2024-07-30 15:13:21
12,4,3,70.16,Nguy hiểm,2024-07-30 15:13:21
13,5,1,82.54,Chú ý,2024-01-03 12:34:22
14,5,2,84.04,Cảnh báo,2024-01-03 12:34:22
15,5,3,86.04,Nguy hiểm,2024-01-03 12:34:22
16,6,1,35.85,Chú ý,2024-03-01 09:10:26
17,6,2,37.35,Cảnh báo,2024-03-01 09:10:26
18,6,3,39.35,Nguy hiểm,2024-03-01 09:10:26
19,7,1,11.23,Chú ý,2024-02-07 13:27:43
20,7,2,12.73,Cảnh báo,2024-02-07 13:27:43
21,7,3,14.73,Nguy hiểm,2024-02-07 13:27:43
22,8,1,82.31,Chú ý,2024-10-10 09:35:35
23,8,2,83.81,Cảnh báo,2024-10-10 09:35:35
24,8,3,85.81,Nguy hiểm,2024-10-10 09:35:35
25,9,1,39.66,Chú ý,2024-08-02 09:23:29
26,9,2,41.16,Cảnh báo,2024-08-02 09:23:29
27,9,3,43.16,Nguy hiểm,2024-08-02 09:23:29
28,10,1,87.74,Chú ý,2024-08-12 05:18:43
29,10,2,89.24,Cảnh báo,2024-08-12 05:18:43
30,10,3,91.24,Nguy hiểm,2024-08-12 05:18:43
31,11,1,24.68,Chú ý,2024-04-22 09:17:28
32,11,2,26.18,Cảnh báo,2024-04-22 09:17:28
33,11,3,28.18,Nguy hiểm,2024-04-22 09:17:28
34,12,1,39.82,Chú ý,2024-06-25 02:05:25
35,12,2,41.32,Cảnh báo,2024-06-25 02:05:25
36,12,3,43.32,Nguy hiểm,2024-06-25 02:05:25
37,13,1,37.35,Chú ý,2024-09-17 06:29:07
38,13,2,38.85,Cảnh báo,2024-09-17 06:29:07
