id,station_code,name,latitude,longitude,geom,elevation,province_id,risk_status,is_deleted,deleted_at,created_at,updated_at
1,ST_00001,Trạm quan trắc số 1,17.963517,102.282579,POINT(102.282579 17.963517),27.87,3,NORMAL,false,,2024-03-27 16:28:29,2024-03-27 16:28:29
2,ST_00002,Trạm quan trắc số 2,19.399774,107.039906,POINT(107.039906 19.399774),89.27,10,NORMAL,false,,2024-02-03 18:19:43,2024-02-03 18:19:43
3,ST_00003,Trạm quan trắc số 3,14.744443,102.317520,POINT(102.317520 14.744443),22.25,10,NORMAL,false,,2024-07-15 06:15:09,2024-07-15 06:15:09
4,ST_00004,Trạm quan trắc số 4,8.892732,103.551515,POINT(103.551515 8.892732),65.16,7,NORMAL,false,,2024-07-30 15:13:21,2024-07-30 15:13:21
5,ST_00005,Trạm quan trắc số 5,11.762521,106.401639,POINT(106.401639 11.762521),81.04,13,NORMAL,false,,2024-01-03 12:34:22,2024-01-03 12:34:22
6,ST_00006,Trạm quan trắc số 6,20.426125,107.196418,POINT(107.196418 20.426125),34.35,4,NORMAL,false,,2024-03-01 09:10:26,2024-03-01 09:10:26
7,ST_00007,Trạm quan trắc số 7,22.666753,104.557140,POINT(104.557140 22.666753),9.73,6,NORMAL,false,,2024-02-07 13:27:43,2024-02-07 13:27:43
8,ST_00008,Trạm quan trắc số 8,21.042917,106.507200,POINT(106.507200 21.042917),80.81,8,NORMAL,false,,2024-10-10 09:35:35,2024-10-10 09:35:35
9,ST_00009,Trạm quan trắc số 9,16.436176,109.203745,POINT(109.203745 16.436176),38.16,5,NORMAL,false,,2024-08-02 09:23:29,2024-08-02 09:23:29
10,ST_00010,Trạm quan trắc số 10,20.775189,106.615194,POINT(106.615194 20.775189),86.24,4,NORMAL,false,,2024-08-12 05:18:43,2024-08-12 05:18:43
11,ST_00011,Trạm quan trắc số 11,18.927663,102.434518,POINT(102.434518 18.927663),23.18,2,NORMAL,false,,2024-04-22 09:17:28,2024-04-22 09:17:28
